ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,CLASS
0.09699829,0.7012917,9.372311,-0.00958738,-0.043675844,-0.017044231,0.08038285,0.69889665,9.784702,0.016615449,0.0023950196,-0.41239244,0.035561748,-0.0047919936,-0.019236377,11473680074475,Still
0.13831238,0.6893166,9.413624,-0.0063915867,-0.04261058,-0.018109495,0.0809816,0.69889665,9.784702,0.05733078,-0.009580079,-0.37107834,0.035558812,-0.00481667,-0.019243117,11473730074475,Still
0.13427079,0.65773225,9.373807,-0.00958738,-0.043675844,-0.014913702,0.08427475,0.6979985,9.784702,0.049996033,-0.040266264,-0.41089553,0.035510533,-0.004987564,-0.019229185,11473780074475,Still
0.11765534,0.68961596,9.400601,-0.0063915867,-0.044741105,-0.015978966,0.086220704,0.69739974,9.784702,0.031434633,-0.0077838134,-0.38410127,0.035483345,-0.0050848965,-0.019225463,11473830074475,Still
0.13726455,0.7095245,9.368717,-0.007456851,-0.04580637,-0.017044231,0.08771759,0.6981482,9.784702,0.04954697,0.011376343,-0.41598496,0.03551377,-0.005163473,-0.019222938,11473880074475,Still
0.12992981,0.66910857,9.340726,-0.007456851,-0.044741105,-0.015978966,0.09011261,0.6976991,9.784702,0.0398172,-0.028590545,-0.44397676,0.035490714,-0.0052824784,-0.019221703,11473930074475,Still
0.124541014,0.70518357,9.41572,-0.007456851,-0.043675844,-0.014913702,0.09175918,0.69754946,9.784702,0.03278183,0.0076341247,-0.3689827,0.035485074,-0.0053665293,-0.019215565,11473980074475,Still
0.123343505,0.69470537,9.391919,-0.007456851,-0.04261058,-0.015978966,0.09355545,0.6979985,9.784553,0.029788055,-0.003293152,-0.39263353,0.035502087,-0.0054566674,-0.019212417,11474030074475,Still
0.13621673,0.6851253,9.371861,-0.00958738,-0.04580637,-0.018109495,0.09505234,0.69829786,9.784553,0.0411644,-0.013172608,-0.4126918,0.03551969,-0.0055337166,-0.019220918,11474080074475,Still
0.102536775,0.68781966,9.389075,-0.007456851,-0.043675844,-0.018109495,0.09669891,0.6981482,9.784553,0.00583786,-0.010328522,-0.3954776,0.035512246,-0.0056193676,-0.019206667,11474130074475,Still
0.120349735,0.6402187,9.397308,-0.007456851,-0.043675844,-0.017044231,0.09774674,0.69739974,9.784553,0.022602998,-0.05718109,-0.38724473,0.0354708,-0.00567051,-0.01921,11474180074475,Still
0.120050356,0.671803,9.373657,-0.007456851,-0.043675844,-0.017044231,0.09909394,0.6969507,9.784553,0.020956421,-0.025147704,-0.41089553,0.035446815,-0.0057419837,-0.019201968,11474230074475,Still
0.122445375,0.6595285,9.389824,-0.0063915867,-0.044741105,-0.015978966,0.10044113,0.6966513,9.784702,0.022004241,-0.0371228,-0.39487883,0.035430852,-0.0058058435,-0.019199666,11474280074475,Still
0.11975098,0.6979985,9.383388,-0.00958738,-0.043675844,-0.015978966,0.101488955,0.6962022,9.784702,0.018262023,0.0017962647,-0.40131545,0.035406694,-0.0058645485,-0.019197417,11474330074475,Still
0.11481125,0.7259903,9.369616,-0.007456851,-0.044741105,-0.015978966,0.102387086,0.6965016,9.784553,0.0124241635,0.029488677,-0.41493714,0.035420388,-0.0059100855,-0.019196156,11474380074475,Still
0.13352233,0.69889665,9.348809,-0.007456851,-0.043675844,-0.017044231,0.103584595,0.6969507,9.784553,0.029937744,0.0019459534,-0.43574387,0.03544353,-0.0059712296,-0.019193795,11474430074475,Still
0.104033664,0.6848259,9.374256,-0.007456851,-0.043675844,-0.017044231,0.10523117,0.69739974,9.784553,-0.0011975098,-0.012573852,-0.4102968,0.035464443,-0.0060494784,-0.01919635,11474480074475,Still
0.14400055,0.68437684,9.388476,-0.007456851,-0.043675844,-0.017044231,0.10627899,0.6969507,9.784553,0.03772156,-0.012573852,-0.39607635,0.035438977,-0.0061038267,-0.01918905,11474530074475,Still
0.12828323,0.68048495,9.385333,-0.008522116,-0.044741105,-0.015978966,0.10777588,0.6966513,9.784553,0.020507354,-0.016166382,-0.3992198,0.035425313,-0.006180005,-0.0191835,11474580074475,Still
0.122145995,0.7033873,9.384884,-0.00958738,-0.04580637,-0.017044231,0.10852432,0.6966513,9.784553,0.013621674,0.0067359926,-0.39966887,0.035422027,-0.0062171575,-0.019184925,11474630074475,Still
0.14504836,0.67868865,9.348809,-0.008522116,-0.04580637,-0.017044231,0.10987152,0.696801,9.784553,0.03517685,-0.018112335,-0.43574387,0.035426855,-0.0062917545,-0.019185625,11474680074475,Still
0.12888199,0.67389864,9.393416,-0.0063915867,-0.043675844,-0.017044231,0.11091934,0.696801,9.784553,0.017962646,-0.022902375,-0.39113662,0.035425633,-0.0063409694,-0.019180527,11474730074475,Still
0.11226654,0.66147447,9.374406,-0.008522116,-0.043675844,-0.015978966,0.11196716,0.69635195,9.784553,2.9937745E-4,-0.03487747,-0.4101471,0.035400778,-0.006393114,-0.019180954,11474780074475,Still
0.120349735,0.69231033,9.39626,-0.00958738,-0.044741105,-0.017044231,0.1128653,0.6959029,9.784553,0.007484436,-0.0035925293,-0.38829255,0.03537751,-0.006438081,-0.019176794,11474830074475,Still
0.121547244,0.6987469,9.40135,-0.00958738,-0.043675844,-0.015978966,0.11406281,0.6956035,9.784553,0.007484436,0.003143463,-0.38320312,0.03536111,-0.006504244,-0.019174758,11474880074475,Still
0.12843293,0.69096315,9.389075,-0.0063915867,-0.04261058,-0.017044231,0.11451187,0.69605255,9.784553,0.013921051,-0.0050894166,-0.3954776,0.03538858,-0.0065212743,-0.01917392,11474930074475,Still
0.13501923,0.66342044,9.423354,-0.007456851,-0.04261058,-0.015978966,0.11600876,0.6959029,9.784553,0.019010467,-0.032482453,-0.36119887,0.035375588,-0.006597859,-0.019168172,11474980074475,Still
0.12918137,0.69470537,9.376801,-0.008522116,-0.043675844,-0.017044231,0.11690689,0.69605255,9.784553,0.012274475,-0.0013471985,-0.40775207,0.03538168,-0.0066438382,-0.019169517,11475030074475,Still
